GroupAddressId,RawAddress,Name,DatapointType,GroupRangeId,GroupRangeName,Attributes
P-07BC-0_GA-998,2539,D59 Dimming ,DPST-3-7,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-998"", ""Address"": ""2539"", ""Name"": ""D59 Dimming "", ""DatapointType"": ""DPST-3-7"", ""Puid"": ""1027""}"
P-07BC-0_GA-999,2540,D59 Dimming Info ,DPST-5-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-999"", ""Address"": ""2540"", ""Name"": ""D59 Dimming Info "", ""DatapointType"": ""DPST-5-1"", ""Puid"": ""1028""}"
P-07BC-0_GA-1000,2541,D60 ON/Off,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-1000"", ""Address"": ""2541"", ""Name"": ""D60 ON/Off"", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""1029""}"
P-07BC-0_GA-1001,2542,D60 ON/Off Info ,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-1001"", ""Address"": ""2542"", ""Name"": ""D60 ON/Off Info "", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""1030""}"
P-07BC-0_GA-1002,2543,D60 Dimming ,DPST-3-7,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-1002"", ""Address"": ""2543"", ""Name"": ""D60 Dimming "", ""DatapointType"": ""DPST-3-7"", ""Puid"": ""1031""}"
P-07BC-0_GA-1003,2544,D60 Dimming Info ,DPST-5-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-1003"", ""Address"": ""2544"", ""Name"": ""D60 Dimming Info "", ""DatapointType"": ""DPST-5-1"", ""Puid"": ""1032""}"
P-07BC-0_GA-1004,2545,D61 ON/Off,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-1004"", ""Address"": ""2545"", ""Name"": ""D61 ON/Off"", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""1033""}"
P-07BC-0_GA-1005,2546,D61 ON/Off Info ,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-1005"", ""Address"": ""2546"", ""Name"": ""D61 ON/Off Info "", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""1034""}"
P-07BC-0_GA-1006,2547,D61 Dimming ,DPST-3-7,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-1006"", ""Address"": ""2547"", ""Name"": ""D61 Dimming "", ""DatapointType"": ""DPST-3-7"", ""Puid"": ""1035""}"
P-07BC-0_GA-1007,2548,D61 Dimming Info ,DPST-5-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-1007"", ""Address"": ""2548"", ""Name"": ""D61 Dimming Info "", ""DatapointType"": ""DPST-5-1"", ""Puid"": ""1036""}"
P-07BC-0_GA-1008,2549,D62 ON/Off,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-1008"", ""Address"": ""2549"", ""Name"": ""D62 ON/Off"", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""1037""}"
P-07BC-0_GA-1009,2550,D62 ON/Off Info ,DPST-1-1,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-1009"", ""Address"": ""2550"", ""Name"": ""D62 ON/Off Info "", ""DatapointType"": ""DPST-1-1"", ""Puid"": ""1038""}"
P-07BC-0_GA-1010,2551,D62 Dimming ,DPST-3-7,P-07BC-0_GR-9,Dali,"{""Id"": ""P-07BC-0_GA-1010"", ""Address"": ""2551"", ""Name"": ""D62 Dimming "", ""DatapointType"": ""DPST-3-7"", ""Puid"": ""1039""}"
